Unit,PLV_Ctrl,Z_Ctrl,p_Ctrl,PLV_ACh,Z_ACh,p_ACh
36,0.1205070102303752,0.6389653386452052,0.5278382754738769,0.19324363407898182,2.277929228835137,0.10249623335498464
37,0.0803382807245403,0.3872543609865026,0.6789183826123747,0.12500885450269605,1.1095321729894125,0.32971317372837083
39,0.12723968180932874,1.1171056272588062,0.3272255379732466,0.15427517327052268,2.4990870542032284,0.08215997199647583
40,0.3121506160770372,5.748842419919159,0.003186467253434291,0.09468969186234265,0.3945100607793576,0.6740101823906924
41,0.08310239993554737,0.5110446567535271,0.5998685945990623,0.08524870672505866,0.7485362258243913,0.4730584970038611
42,0.2847782981766448,4.703723388518388,0.009061474819929544,0.09548095614142103,0.9754775894677564,0.37701225347815204
43,0.15977876831457025,1.7615185814843572,0.1717837979534381,0.16558156488342787,3.180401536992401,0.041568960294308385
45,0.13467477662686791,1.3965717503812511,0.24744381066078674,0.07347919411906614,0.5723143486490648,0.5642181290331698
47,0.19110247247711792,1.3877658895009692,0.24963238844648283,0.16941654558077318,2.7266867620696087,0.06543573506199031
48,0.010547184107816122,0.002558591129895886,0.9974446792745852,0.11704623578476404,5.671726022912387,0.003441919314546851
49,0.10376196374667353,0.8074908840424494,0.44597566820589396,0.1566404632797272,1.5457827883987165,0.21314495850200726
50,0.03662009604251991,0.08046188604980294,0.9226900702769674,0.22075638561811803,3.26513658000874,0.038191718502200836
51,0.19378074885979124,2.8914253544069344,0.0554970532403977,0.14074913070276981,1.7433079658355133,0.17494074439838458
52,0.1005396931250411,0.6974678626637432,0.49784431930716894,0.12863083553440666,1.323671348022366,0.26615635343324057
56,0.1644504616537184,1.3792416712441764,0.2517694046658748,0.23487513363964452,3.861642988156861,0.02103341346935478
57,0.13427525265806983,1.298148730299971,0.2730367901834846,0.15195448235387904,2.4475574589881455,0.0865046197472178
58,0.22265820006554732,1.2394168514107324,0.28955302115139203,0.1270215043496676,8.535130698076639,0.00019644448255983017
60,0.06845962088365297,0.2905766208750766,0.7478322275572218,0.14014143202766446,1.4729715728073376,0.22924325901162287
61,0.1742929399211786,1.7011696187565843,0.1824699788840453,0.1926546108933161,4.231201097223873,0.014534922205217009
62,0.1410032387945964,0.4374020937124514,0.6457117425727543,0.23719449470477316,2.4192328176848648,0.08898986272666821
